選手ID,選手名,OVR,顔写真,所属クラブ,クラブID,クラブエンブレム,所属リーグ名
226161,Marcos Llorente,84,https://cdn.sofifa.net/players/226/161/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
209658,L. Goretzka,82,https://cdn.sofifa.net/players/209/658/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
255253,Vitinha,89,https://cdn.sofifa.net/players/255/253/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
209331,M. Salah,91,https://cdn.sofifa.net/players/209/331/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
204923,M. Sabitzer,80,https://cdn.sofifa.net/players/204/923/26_240.png,Borussia Dortmund,22.0,https://cdn.sofifa.net/teams/22/240.png,Bundesliga
234378,D. Rice,87,https://cdn.sofifa.net/players/234/378/26_240.png,Arsenal,1.0,https://cdn.sofifa.net/teams/1/240.png,Premier League
210514,João Cancelo,84,https://cdn.sofifa.net/players/210/514/26_240.png,Al Hilal,605.0,https://cdn.sofifa.net/teams/605/240.png,Pro League
228702,F. de Jong,87,https://cdn.sofifa.net/players/228/702/26_240.png,FC Barcelona,241.0,https://cdn.sofifa.net/teams/241/240.png,La Liga
240638,T. Reijnders,86,https://cdn.sofifa.net/players/240/638/26_240.png,Manchester City,10.0,https://cdn.sofifa.net/teams/10/240.png,Premier League
236772,D. Szoboszlai,83,https://cdn.sofifa.net/players/236/772/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
233419,Raphinha,89,https://cdn.sofifa.net/players/233/419/26_240.png,FC Barcelona,241.0,https://cdn.sofifa.net/teams/241/240.png,La Liga
246669,B. Saka,88,https://cdn.sofifa.net/players/246/669/26_240.png,Arsenal,1.0,https://cdn.sofifa.net/teams/1/240.png,Premier League
223848,S. Milinković-Savić,84,https://cdn.sofifa.net/players/223/848/26_240.png,Al Hilal,605.0,https://cdn.sofifa.net/teams/605/240.png,Pro League
251854,Pedri,89,https://cdn.sofifa.net/players/251/854/26_240.png,FC Barcelona,241.0,https://cdn.sofifa.net/teams/241/240.png,La Liga
247851,Bruno Guimarães,86,https://cdn.sofifa.net/players/247/851/26_240.png,Newcastle United,13.0,https://cdn.sofifa.net/teams/13/240.png,Premier League
231443,O. Dembélé,90,https://cdn.sofifa.net/players/231/443/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
272834,João Neves,85,https://cdn.sofifa.net/players/272/834/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
246104,R. Gravenberch,85,https://cdn.sofifa.net/players/246/104/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
231478,L. Martínez,88,https://cdn.sofifa.net/players/231/478/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
192883,H. Mkhitaryan,83,https://cdn.sofifa.net/players/192/883/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
192985,K. De Bruyne,87,https://cdn.sofifa.net/players/192/985/26_240.png,Napoli,48.0,https://cdn.sofifa.net/teams/48/240.png,Serie A
240679,T. Koopmeiners,81,https://cdn.sofifa.net/players/240/679/26_240.png,Juventus,45.0,https://cdn.sofifa.net/teams/45/240.png,Serie A
247635,K. Kvaratskhelia,87,https://cdn.sofifa.net/players/247/635/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
210035,Grimaldo,84,https://cdn.sofifa.net/players/210/035/26_240.png,Bayer 04 Leverkusen,32.0,https://cdn.sofifa.net/teams/32/240.png,Bundesliga
238074,R. James,81,https://cdn.sofifa.net/players/238/074/26_240.png,Chelsea,5.0,https://cdn.sofifa.net/teams/5/240.png,Premier League
208574,F. Kostić,81,https://cdn.sofifa.net/players/208/574/26_240.png,Juventus,45.0,https://cdn.sofifa.net/teams/45/240.png,Serie A
238216,C. Gallagher,81,https://cdn.sofifa.net/players/238/216/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
225193,Mikel Merino,83,https://cdn.sofifa.net/players/225/193/26_240.png,Arsenal,1.0,https://cdn.sofifa.net/teams/1/240.png,Premier League
247090,E. Fernández,84,https://cdn.sofifa.net/players/247/090/26_240.png,Chelsea,5.0,https://cdn.sofifa.net/teams/5/240.png,Premier League
209297,Fred,80,https://cdn.sofifa.net/players/209/297/26_240.png,Fenerbahçe SK,326.0,https://cdn.sofifa.net/teams/326/240.png,Süper Lig
197445,D. Alaba,82,https://cdn.sofifa.net/players/197/445/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
226754,I. Bennacer,80,https://cdn.sofifa.net/players/226/754/26_240.png,Dinamo Zagreb,211.0,https://cdn.sofifa.net/teams/211/240.png,Hrvatska nogometna liga
263205,B. Yılmaz,80,https://cdn.sofifa.net/players/263/205/26_240.png,Galatasaray SK,325.0,https://cdn.sofifa.net/teams/325/240.png,Süper Lig
243576,Pedro Porro,82,https://cdn.sofifa.net/players/243/576/26_240.png,Tottenham Hotspur,18.0,https://cdn.sofifa.net/teams/18/240.png,Premier League
231747,K. Mbappé,91,https://cdn.sofifa.net/players/231/747/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
222665,M. Ødegaard,87,https://cdn.sofifa.net/players/222/665/26_240.png,Arsenal,1.0,https://cdn.sofifa.net/teams/1/240.png,Premier League
210411,Otávio,82,https://cdn.sofifa.net/players/210/411/26_240.png,Al Qadsiah FC,112391.0,https://cdn.sofifa.net/teams/112391/240.png,Pro League
243245,O. Kökçü,82,https://cdn.sofifa.net/players/243/245/26_240.png,Beşiktaş JK,327.0,https://cdn.sofifa.net/teams/327/240.png,Süper Lig
224334,M. Acuña,78,https://cdn.sofifa.net/players/224/334/26_240.png,River Plate,1876.0,https://cdn.sofifa.net/teams/1876/240.png,Liga Profesional de Fútbol
237238,S. McTominay,85,https://cdn.sofifa.net/players/237/238/26_240.png,Napoli,48.0,https://cdn.sofifa.net/teams/48/240.png,Serie A
202126,H. Kane,89,https://cdn.sofifa.net/players/202/126/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
248243,E. Camavinga,83,https://cdn.sofifa.net/players/248/243/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
224293,Rúben Neves,84,https://cdn.sofifa.net/players/224/293/26_240.png,Al Hilal,605.0,https://cdn.sofifa.net/teams/605/240.png,Pro League
246863,F. Nmecha,82,https://cdn.sofifa.net/players/246/863/26_240.png,Borussia Dortmund,22.0,https://cdn.sofifa.net/teams/22/240.png,Bundesliga
258648,Carlos Augusto,81,https://cdn.sofifa.net/players/258/648/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
210881,J. McGinn,81,https://cdn.sofifa.net/players/210/881/26_240.png,Aston Villa,2.0,https://cdn.sofifa.net/teams/2/240.png,Premier League
225201,Berenguer,82,https://cdn.sofifa.net/players/225/201/26_240.png,Athletic Club,448.0,https://cdn.sofifa.net/teams/448/240.png,La Liga
208333,E. Can,82,https://cdn.sofifa.net/players/208/333/26_240.png,Borussia Dortmund,22.0,https://cdn.sofifa.net/teams/22/240.png,Bundesliga
228251,L. Pellegrini,80,https://cdn.sofifa.net/players/228/251/26_240.png,Roma,52.0,https://cdn.sofifa.net/teams/52/240.png,Serie A
240950,Pedro Gonçalves,83,https://cdn.sofifa.net/players/240/950/26_240.png,Sporting CP,237.0,https://cdn.sofifa.net/teams/237/240.png,Primeira Liga
223334,Joelinton,82,https://cdn.sofifa.net/players/223/334/26_240.png,Newcastle United,13.0,https://cdn.sofifa.net/teams/13/240.png,Premier League
252145,Nuno Mendes,86,https://cdn.sofifa.net/players/252/145/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
188545,R. Lewandowski,88,https://cdn.sofifa.net/players/188/545/26_240.png,FC Barcelona,241.0,https://cdn.sofifa.net/teams/241/240.png,La Liga
247246,K. Thuram,81,https://cdn.sofifa.net/players/247/246/26_240.png,Juventus,45.0,https://cdn.sofifa.net/teams/45/240.png,Serie A
181458,I. Perišić,81,https://cdn.sofifa.net/players/181/458/26_240.png,PSV,247.0,https://cdn.sofifa.net/teams/247/240.png,Eredivisie
243014,B. Mbeumo,85,https://cdn.sofifa.net/players/243/014/26_240.png,Manchester United,11.0,https://cdn.sofifa.net/teams/11/240.png,Premier League
216393,Y. Tielemans,85,https://cdn.sofifa.net/players/216/393/26_240.png,Aston Villa,2.0,https://cdn.sofifa.net/teams/2/240.png,Premier League
195479,J. Tavernier,77,https://cdn.sofifa.net/players/195/479/26_240.png,Rangers FC,86.0,https://cdn.sofifa.net/teams/86/240.png,Premiership
256790,J. Musiala,88,https://cdn.sofifa.net/players/256/790/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
239231,Marc Cucurella,84,https://cdn.sofifa.net/players/239/231/26_240.png,Chelsea,5.0,https://cdn.sofifa.net/teams/5/240.png,Premier League
223959,L. Torreira,83,https://cdn.sofifa.net/players/223/959/26_240.png,Galatasaray SK,325.0,https://cdn.sofifa.net/teams/325/240.png,Süper Lig
212811,M. Lemina,79,https://cdn.sofifa.net/players/212/811/26_240.png,Galatasaray SK,325.0,https://cdn.sofifa.net/teams/325/240.png,Süper Lig
177003,L. Modrić,83,https://cdn.sofifa.net/players/177/003/26_240.png,AC Milan,47.0,https://cdn.sofifa.net/teams/47/240.png,Serie A
230938,F. Kessié,80,https://cdn.sofifa.net/players/230/938/26_240.png,Al Ahli SFC,112387.0,https://cdn.sofifa.net/teams/112387/240.png,Pro League
226226,G. Lo Celso,82,https://cdn.sofifa.net/players/226/226/26_240.png,Real Betis Balompié,449.0,https://cdn.sofifa.net/teams/449/240.png,La Liga
231913,F. Aursnes,80,https://cdn.sofifa.net/players/231/913/26_240.png,SL Benfica,234.0,https://cdn.sofifa.net/teams/234/240.png,Primeira Liga
247394,D. Kulusevski,83,https://cdn.sofifa.net/players/247/394/26_240.png,Tottenham Hotspur,18.0,https://cdn.sofifa.net/teams/18/240.png,Premier League
218667,Bernardo Silva,84,https://cdn.sofifa.net/players/218/667/26_240.png,Manchester City,10.0,https://cdn.sofifa.net/teams/10/240.png,Premier League
256630,F. Wirtz,89,https://cdn.sofifa.net/players/256/630/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
238744,W. McKennie,78,https://cdn.sofifa.net/players/238/744/26_240.png,Juventus,45.0,https://cdn.sofifa.net/teams/45/240.png,Serie A
213666,R. Loftus-Cheek,80,https://cdn.sofifa.net/players/213/666/26_240.png,AC Milan,47.0,https://cdn.sofifa.net/teams/47/240.png,Serie A
202648,Sergi Darder,81,https://cdn.sofifa.net/players/202/648/26_240.png,RCD Mallorca,453.0,https://cdn.sofifa.net/teams/453/240.png,La Liga
219683,C. Tolisso,81,https://cdn.sofifa.net/players/219/683/26_240.png,Olympique Lyonnais,66.0,https://cdn.sofifa.net/teams/66/240.png,Ligue 1
216352,M. Brozović,81,https://cdn.sofifa.net/players/216/352/26_240.png,Al Nassr,112139.0,https://cdn.sofifa.net/teams/112139/240.png,Pro League
251479,M. De Cuyper,80,https://cdn.sofifa.net/players/251/479/26_240.png,Brighton & Hove Albion,1808.0,https://cdn.sofifa.net/teams/1808/240.png,Premier League
251806,Q. Timber,80,https://cdn.sofifa.net/players/251/806/26_240.png,Feyenoord,246.0,https://cdn.sofifa.net/teams/246/240.png,Eredivisie
211093,C. McGregor,79,https://cdn.sofifa.net/players/211/093/26_240.png,Celtic,78.0,https://cdn.sofifa.net/teams/78/240.png,Premiership
236499,Douglas Luiz,80,https://cdn.sofifa.net/players/236/499/26_240.png,Nottingham Forest,14.0,https://cdn.sofifa.net/teams/14/240.png,Premier League
215590,Ayoze,83,https://cdn.sofifa.net/players/215/590/26_240.png,Villarreal CF,483.0,https://cdn.sofifa.net/teams/483/240.png,La Liga
234396,A. Davies,84,https://cdn.sofifa.net/players/234/396/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
239807,D. Frattesi,81,https://cdn.sofifa.net/players/239/807/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
227890,Nuno Santos,79,https://cdn.sofifa.net/players/227/890/26_240.png,Sporting CP,237.0,https://cdn.sofifa.net/teams/237/240.png,Primeira Liga
236496,M. Guendouzi,82,https://cdn.sofifa.net/players/236/496/26_240.png,Lazio,46.0,https://cdn.sofifa.net/teams/46/240.png,Serie A
256079,M. Caicedo,87,https://cdn.sofifa.net/players/256/079/26_240.png,Chelsea,5.0,https://cdn.sofifa.net/teams/5/240.png,Premier League
251517,J. Gvardiol,84,https://cdn.sofifa.net/players/251/517/26_240.png,Manchester City,10.0,https://cdn.sofifa.net/teams/10/240.png,Premier League
227236,A. Zambo Anguissa,82,https://cdn.sofifa.net/players/227/236/26_240.png,Napoli,48.0,https://cdn.sofifa.net/teams/48/240.png,Serie A
186345,K. Trippier,80,https://cdn.sofifa.net/players/186/345/26_240.png,Newcastle United,13.0,https://cdn.sofifa.net/teams/13/240.png,Premier League
233927,Lucas Paquetá,80,https://cdn.sofifa.net/players/233/927/26_240.png,West Ham United,19.0,https://cdn.sofifa.net/teams/19/240.png,Premier League
270571,Gabriel Sara,80,https://cdn.sofifa.net/players/270/571/26_240.png,Galatasaray SK,325.0,https://cdn.sofifa.net/teams/325/240.png,Süper Lig
244669,M. Hjulmand,83,https://cdn.sofifa.net/players/244/669/26_240.png,Sporting CP,237.0,https://cdn.sofifa.net/teams/237/240.png,Primeira Liga
232665,M. Arambarri,80,https://cdn.sofifa.net/players/232/665/26_240.png,Getafe CF,1860.0,https://cdn.sofifa.net/teams/1860/240.png,La Liga
246321,D. Maeda,79,https://cdn.sofifa.net/players/246/321/26_240.png,Celtic,78.0,https://cdn.sofifa.net/teams/78/240.png,Premiership
239085,E. Haaland,90,https://cdn.sofifa.net/players/239/085/26_240.png,Manchester City,10.0,https://cdn.sofifa.net/teams/10/240.png,Premier League
226851,B. Pavard,84,https://cdn.sofifa.net/players/226/851/26_240.png,Olympique de Marseille,219.0,https://cdn.sofifa.net/teams/219/240.png,Ligue 1
254243,E. Anderson,80,https://cdn.sofifa.net/players/254/243/26_240.png,Nottingham Forest,14.0,https://cdn.sofifa.net/teams/14/240.png,Premier League
181291,G. Wijnaldum,78,https://cdn.sofifa.net/players/181/291/26_240.png,Al Ettifaq,112096.0,https://cdn.sofifa.net/teams/112096/240.png,Pro League
192638,Marcos Alonso,79,https://cdn.sofifa.net/players/192/638/26_240.png,RC Celta,450.0,https://cdn.sofifa.net/teams/450/240.png,La Liga
228813,Aleix García,83,https://cdn.sofifa.net/players/228/813/26_240.png,Bayer 04 Leverkusen,32.0,https://cdn.sofifa.net/teams/32/240.png,Bundesliga
257279,Álex Baena,84,https://cdn.sofifa.net/players/257/279/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
256853,M. Tillman,82,https://cdn.sofifa.net/players/256/853/26_240.png,Bayer 04 Leverkusen,32.0,https://cdn.sofifa.net/teams/32/240.png,Bundesliga
231521,E. Palacios,84,https://cdn.sofifa.net/players/231/521/26_240.png,Bayer 04 Leverkusen,32.0,https://cdn.sofifa.net/teams/32/240.png,Bundesliga
251377,R. Zalazar,79,https://cdn.sofifa.net/players/251/377/26_240.png,Sporting Clube de Braga,1896.0,https://cdn.sofifa.net/teams/1896/240.png,Primeira Liga
204963,Carvajal,85,https://cdn.sofifa.net/players/204/963/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
193747,Koke,81,https://cdn.sofifa.net/players/193/747/26_240.png,Atlético Madrid,240.0,https://cdn.sofifa.net/teams/240/240.png,La Liga
242280,L. Ferguson,78,https://cdn.sofifa.net/players/242/280/26_240.png,Bologna,189.0,https://cdn.sofifa.net/teams/189/240.png,Serie A
262881,R. Ríos,79,https://cdn.sofifa.net/players/262/881/26_240.png,SL Benfica,234.0,https://cdn.sofifa.net/teams/234/240.png,Primeira Liga
217870,G. Di Lorenzo,83,https://cdn.sofifa.net/players/217/870/26_240.png,Napoli,48.0,https://cdn.sofifa.net/teams/48/240.png,Serie A
257534,C. Palmer,87,https://cdn.sofifa.net/players/257/534/26_240.png,Chelsea,5.0,https://cdn.sofifa.net/teams/5/240.png,Premier League
234060,Y. Herrera,81,https://cdn.sofifa.net/players/234/060/26_240.png,Real Sociedad,457.0,https://cdn.sofifa.net/teams/457/240.png,La Liga
261865,Miguel Gutiérrez,81,https://cdn.sofifa.net/players/261/865/26_240.png,Napoli,48.0,https://cdn.sofifa.net/teams/48/240.png,Serie A
220651,Angeliño,79,https://cdn.sofifa.net/players/220/651/26_240.png,Roma,52.0,https://cdn.sofifa.net/teams/52/240.png,Serie A
266866,Éderson,82,https://cdn.sofifa.net/players/266/866/26_240.png,Atalanta,39.0,https://cdn.sofifa.net/teams/39/240.png,Serie A
206511,M. Arnold,79,https://cdn.sofifa.net/players/206/511/26_240.png,VfL Wolfsburg,175.0,https://cdn.sofifa.net/teams/175/240.png,Bundesliga
236015,M. Gibbs-White,82,https://cdn.sofifa.net/players/236/015/26_240.png,Nottingham Forest,14.0,https://cdn.sofifa.net/teams/14/240.png,Premier League
222077,M. Locatelli,84,https://cdn.sofifa.net/players/222/077/26_240.png,Juventus,45.0,https://cdn.sofifa.net/teams/45/240.png,Serie A
233096,D. Dumfries,84,https://cdn.sofifa.net/players/233/096/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
200458,L. Digne,80,https://cdn.sofifa.net/players/200/458/26_240.png,Aston Villa,2.0,https://cdn.sofifa.net/teams/2/240.png,Premier League
212242,R. Andrich,81,https://cdn.sofifa.net/players/212/242/26_240.png,Bayer 04 Leverkusen,32.0,https://cdn.sofifa.net/teams/32/240.png,Bundesliga
241637,A. Tchouaméni,84,https://cdn.sofifa.net/players/241/637/26_240.png,Real Madrid,243.0,https://cdn.sofifa.net/teams/243/240.png,La Liga
215441,S. Guirassy,87,https://cdn.sofifa.net/players/215/441/26_240.png,Borussia Dortmund,22.0,https://cdn.sofifa.net/teams/22/240.png,Bundesliga
253727,L. Provod,78,https://cdn.sofifa.net/players/253/727/26_240.png,SK Slavia Praha,266.0,https://cdn.sofifa.net/teams/266/240.png,První liga
220502,M. Zaccagni,84,https://cdn.sofifa.net/players/220/502/26_240.png,Lazio,46.0,https://cdn.sofifa.net/teams/46/240.png,Serie A
208461,M. de Roon,81,https://cdn.sofifa.net/players/208/461/26_240.png,Atalanta,39.0,https://cdn.sofifa.net/teams/39/240.png,Serie A
215449,R. Skov,74,https://cdn.sofifa.net/players/215/449/26_240.png,1. FC Union Berlin,1831.0,https://cdn.sofifa.net/teams/1831/240.png,Bundesliga
235944,Brais Méndez,81,https://cdn.sofifa.net/players/235/944/26_240.png,Real Sociedad,457.0,https://cdn.sofifa.net/teams/457/240.png,La Liga
223697,R. Gosens,80,https://cdn.sofifa.net/players/223/697/26_240.png,Fiorentina,110374.0,https://cdn.sofifa.net/teams/110374/240.png,Serie A
226271,Fabián Ruiz,85,https://cdn.sofifa.net/players/226/271/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
234741,G. Hamer,77,https://cdn.sofifa.net/players/234/741/26_240.png,Sheffield United,1794.0,https://cdn.sofifa.net/teams/1794/240.png,Championship
220697,J. Maddison,84,https://cdn.sofifa.net/players/220/697/26_240.png,Tottenham Hotspur,18.0,https://cdn.sofifa.net/teams/18/240.png,Premier League
190765,P. Groß,80,https://cdn.sofifa.net/players/190/765/26_240.png,Borussia Dortmund,22.0,https://cdn.sofifa.net/teams/22/240.png,Bundesliga
183512,Yuri Berchiche,79,https://cdn.sofifa.net/players/183/512/26_240.png,Athletic Club,448.0,https://cdn.sofifa.net/teams/448/240.png,La Liga
209889,R. Guerreiro,80,https://cdn.sofifa.net/players/209/889/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
225375,K. Laimer,82,https://cdn.sofifa.net/players/225/375/26_240.png,FC Bayern München,21.0,https://cdn.sofifa.net/teams/21/240.png,Bundesliga
189332,Jordi Alba,78,https://cdn.sofifa.net/players/189/332/26_240.png,Inter Miami,112893.0,https://cdn.sofifa.net/teams/112893/240.png,Major League Soccer
247972,D. Olaru,73,https://cdn.sofifa.net/players/247/972/26_240.png,FCSB,100761.0,https://cdn.sofifa.net/teams/100761/240.png,Liga I
260247,M. Rogers,82,https://cdn.sofifa.net/players/260/247/26_240.png,Aston Villa,2.0,https://cdn.sofifa.net/teams/2/240.png,Premier League
208418,Y. Carrasco,81,https://cdn.sofifa.net/players/208/418/26_240.png,Al Shabab,111674.0,https://cdn.sofifa.net/teams/111674/240.png,Pro League
271421,D. Doué,85,https://cdn.sofifa.net/players/271/421/26_240.png,Paris Saint-Germain,73.0,https://cdn.sofifa.net/teams/73/240.png,Ligue 1
228093,M. Thuram,85,https://cdn.sofifa.net/players/228/093/26_240.png,Inter,44.0,https://cdn.sofifa.net/teams/44/240.png,Serie A
236703,D. Raum,82,https://cdn.sofifa.net/players/236/703/26_240.png,RB Leipzig,112172.0,https://cdn.sofifa.net/teams/112172/240.png,Bundesliga
241651,V. Gyökeres,87,https://cdn.sofifa.net/players/241/651/26_240.png,Arsenal,1.0,https://cdn.sofifa.net/teams/1/240.png,Premier League
259913,G. Sudakov,80,https://cdn.sofifa.net/players/259/913/26_240.png,SL Benfica,234.0,https://cdn.sofifa.net/teams/234/240.png,Primeira Liga
212523,Anderson Talisca,81,https://cdn.sofifa.net/players/212/523/26_240.png,Fenerbahçe SK,326.0,https://cdn.sofifa.net/teams/326/240.png,Süper Lig
272500,C. Baleba,81,https://cdn.sofifa.net/players/272/500/26_240.png,Brighton & Hove Albion,1808.0,https://cdn.sofifa.net/teams/1808/240.png,Premier League
212207,N. Stanciu,77,https://cdn.sofifa.net/players/212/207/26_240.png,Genoa,110556.0,https://cdn.sofifa.net/teams/110556/240.png,Serie A
245367,X. Simons,84,https://cdn.sofifa.net/players/245/367/26_240.png,Tottenham Hotspur,18.0,https://cdn.sofifa.net/teams/18/240.png,Premier League
201389,C. Biraghi,78,https://cdn.sofifa.net/players/201/389/26_240.png,Torino,54.0,https://cdn.sofifa.net/teams/54/240.png,Serie A
199503,G. Xhaka,85,https://cdn.sofifa.net/players/199/503/26_240.png,Sunderland,106.0,https://cdn.sofifa.net/teams/106/240.png,Premier League
211110,P. Dybala,86,https://cdn.sofifa.net/players/211/110/26_240.png,Roma,52.0,https://cdn.sofifa.net/teams/52/240.png,Serie A
227796,C. Pulisic,84,https://cdn.sofifa.net/players/227/796/26_240.png,AC Milan,47.0,https://cdn.sofifa.net/teams/47/240.png,Serie A
204539,L. Advíncula,75,https://cdn.sofifa.net/players/204/539/26_240.png,Boca Juniors,1877.0,https://cdn.sofifa.net/teams/1877/240.png,Liga Profesional de Fútbol
208722,S. Mané,83,https://cdn.sofifa.net/players/208/722/26_240.png,Al Nassr,112139.0,https://cdn.sofifa.net/teams/112139/240.png,Pro League
216201,Iñaki Williams,83,https://cdn.sofifa.net/players/216/201/26_240.png,Athletic Club,448.0,https://cdn.sofifa.net/teams/448/240.png,La Liga
256688,C. Puertas,78,https://cdn.sofifa.net/players/256/688/26_240.png,SV Werder Bremen,38.0,https://cdn.sofifa.net/teams/38/240.png,Bundesliga
239093,J. Clauss,80,https://cdn.sofifa.net/players/239/093/26_240.png,OGC Nice,72.0,https://cdn.sofifa.net/teams/72/240.png,Ligue 1
260908,M. Kerkez,82,https://cdn.sofifa.net/players/260/908/26_240.png,Liverpool,9.0,https://cdn.sofifa.net/teams/9/240.png,Premier League
250723,K. Koné,79,https://cdn.sofifa.net/players/250/723/26_240.png,Roma,52.0,https://cdn.sofifa.net/teams/52/240.png,Serie A
244309,T. Teuma,75,https://cdn.sofifa.net/players/244/309/26_240.png,Stade de Reims,379.0,https://cdn.sofifa.net/teams/379/240.png,Ligue 2
259694,Mingueza,80,https://cdn.sofifa.net/players/259/694/26_240.png,RC Celta,450.0,https://cdn.sofifa.net/teams/450/240.png,La Liga
200104,H. Son,85,https://cdn.sofifa.net/players/200/104/26_240.png,Los Angeles FC,112996.0,https://cdn.sofifa.net/teams/112996/240.png,Major League Soccer
215914,N. Kanté,85,https://cdn.sofifa.net/players/215/914/26_240.png,Al Ittihad,607.0,https://cdn.sofifa.net/teams/607/240.png,Pro League
188377,K. Walker,79,https://cdn.sofifa.net/players/188/377/26_240.png,Burnley,1796.0,https://cdn.sofifa.net/teams/1796/240.png,Premier League
